SEGID,DY_VOL,FT,ATYPENAME,LANES,YEAR,FAC_WDAVG,modAadt,aadtAdjFactor,modForecast
0006_146.9,1526.2,2.0,Rural,2.0,2019,0.984,1551,-34.0,1500.0
0006_149.9,1550.9,2.0,Rural,2.0,2019,0.984,1576,865.0,2400.0
0006_150.6,1743.1,2.0,Rural,2.0,2019,0.984,1771,670.0,2400.0
0006_152.6,2487.3,3.0,Rural,2.0,2019,0.984,2527,-110.0,2400.0
0006_152.9,3748.8,2.0,Rural,2.0,2019,0.9593,3907,-148.0,3800.0
0006_155.9,3021.6,2.0,Rural,2.0,2019,0.9593,3149,1830.0,5000.0
0006_157.3,3773.1,2.0,Rural,2.0,2019,0.9593,3933,1046.0,5000.0
0006_157.6,4153.3,2.0,Rural,2.0,2019,0.9593,4329,650.0,5000.0
0006_158.5,4634.5,2.0,Transition,2.0,2019,1.0918,4244,735.0,5000.0
0006_159.6,8298.2,2.0,Transition,2.0,2019,1.0924,7596,-887.0,6700.0
0006_159.8,9219.0,2.0,Transition,2.0,2019,1.0924,8439,4217.0,12500.0
0006_160.3,12979.7,2.0,Transition,4.0,2019,1.0918,11888,7017.0,19000.0
0006_173.4,49898.7,15.0,Urban,6.0,2019,1.0946,45586,-10898.0,34500.0
0006_173.7,46219.9,15.0,Urban,6.0,2019,1.0946,42225,-7537.0,34500.0
0006_174.0,34109.0,15.0,Urban,4.0,2019,1.0924,31223,564.0,32000.0
0006_174.4,34109.0,15.0,Suburban,4.0,2019,1.0924,31223,564.0,32000.0
0006_174.9,21221.2,13.0,Suburban,4.0,2019,1.0924,19426,5072.0,24500.0
0006_175.6,21221.2,13.0,Suburban,4.0,2019,1.0924,19426,5072.0,24500.0
0006_176.1,13492.2,13.0,Transition,4.0,2019,1.0924,12350,12148.0,24500.0
0006_177.0,16209.0,13.0,Transition,4.0,2019,1.0924,14837,9661.0,24500.0
0006_177.2,15808.8,13.0,Transition,4.0,2019,1.0924,14471,-1305.0,13000.0
0006_177.5,11781.0,13.0,Transition,2.0,2019,1.0918,10790,2376.0,13000.0
0006_177.9,12856.0,13.0,Transition,2.0,2019,1.0918,11775,274.0,12000.0
0013_000.0,12801.2,2.0,Suburban,4.0,2019,1.0924,11718,7796.0,19500.0
0013_000.6,14358.8,2.0,Suburban,4.0,2019,1.0924,13144,6370.0,19500.0
0013_001.3,13402.6,2.0,Urban,4.0,2019,1.0946,12244,3294.0,15500.0
0013_001.6,14663.8,2.0,Urban,4.0,2019,1.0924,13423,3171.0,16500.0
0013_001.8,12605.5,2.0,Suburban,4.0,2019,1.0924,11539,5055.0,16500.0
0013_002.5,9592.2,2.0,Suburban,4.0,2019,1.0924,8780,7814.0,16500.0
0013_002.9,5496.0,2.0,Suburban,2.0,2019,1.0924,5031,253.0,5300.0
0013_003.3,8966.1,2.0,Transition,2.0,2019,1.0918,8212,-2928.0,5300.0
0013_004.9,8730.9,2.0,Rural,2.0,2019,1.0918,7996,670.0,8700.0
0013_005.6,8451.2,3.0,Rural,2.0,2019,0.9593,8809,1043.0,9900.0
0015_241.6,29328.0,35.0,Transition,4.0,2019,0.9451,31031,-2521.0,28500.0
0015_242.4,32652.2,35.0,Transition,4.0,2019,0.9584,34069,-2736.0,31500.0
0015_244.8,41569.2,36.0,Rural,4.0,2019,0.9718,42775,1279.0,44000.0
0015_246.9,41569.2,35.0,Rural,4.0,2019,0.9718,42775,1279.0,44000.0
0015_248.8,47802.6,35.0,Suburban,6.0,2019,0.9852,48520,-122.0,48500.0
0015_250.3,22111.1,35.0,Suburban,3.0,2019,0.0,0,0.0,0.0
0015_250.9,64137.0,35.0,Transition,6.0,2019,0.9985,64233,-1660.0,62500.0
0015_251.6,66381.0,35.0,Rural,6.0,2019,0.9985,66480,-3907.0,62500.0
0015_252.5,66381.0,35.0,Rural,6.0,2019,0.9985,66480,-3907.0,62500.0
0015_253.6,65277.8,35.0,Rural,6.0,2019,1.0119,64510,-1761.0,62500.0
0015_255.9,65277.8,33.0,Suburban,6.0,2019,1.0119,64510,-1761.0,62500.0
0015_257.3,73937.6,33.0,Suburban,8.0,2019,1.0253,72113,-9364.0,62500.0
0015_257.6,140073.4,33.0,Suburban,11.0,2019,1.0386,134867,-25496.0,109000.0
0015_258.8,128043.5,33.0,Suburban,10.0,2019,1.0386,123284,-13913.0,109000.0
0015_260.0,150417.4,34.0,Transition,10.0,2019,1.052,142982,-15462.0,128000.0
0015_261.8,162254.6,34.0,Rural,10.0,2019,1.0654,152294,-12840.0,139000.0
0015_263.4,131110.8,33.0,Urban,10.0,2019,1.0654,123062,13060.0,136000.0
0015_264.2,131110.8,33.0,Suburban,10.0,2019,1.0654,123062,13060.0,136000.0
0015_265.6,141890.4,33.0,Suburban,11.0,2019,1.0654,133180,23535.0,157000.0
0015_266.5,141890.4,33.0,Suburban,11.0,2019,1.0654,133180,23535.0,157000.0
0015_267.9,141890.4,33.0,Urban,11.0,2019,1.0654,133180,23535.0,157000.0
0015_269.0,169958.9,34.0,Urban,12.0,2019,1.0654,159525,-2810.0,157000.0
0015_269.6,169958.9,34.0,Urban,12.0,2019,1.0654,159525,43678.0,203000.0
0015_270.6,198728.2,34.0,Urban,12.0,2019,1.0654,186529,-13805.0,173000.0
0015_271.6,213171.5,34.0,Urban,12.0,2019,1.0654,200085,26059.0,226000.0
0015_272.7,214924.6,33.0,Suburban,12.0,2019,1.0654,201731,22961.0,225000.0
0015_274.7,214924.6,33.0,Suburban,12.0,2019,1.0654,201731,22961.0,225000.0
0015_275.3,213523.2,34.0,Urban,12.0,2019,1.0654,200415,-3056.0,197000.0
0015_276.4,199832.0,33.0,Urban,12.0,2019,1.0654,187565,17210.0,205000.0
0015_278.5,177342.7,34.0,Urban,11.0,2019,1.0654,166456,30376.0,197000.0
0015_279.6,164691.6,33.0,Suburban,8.0,2019,1.0654,154581,12498.0,167000.0
0015_282.2,173744.4,33.0,Urban,10.0,2019,1.0654,163079,0.0,163000.0
0015_283.3,176743.1,33.0,Urban,10.0,2019,1.0654,165893,32650.0,199000.0
0015_283.9,226844.4,33.0,Urban,14.0,2019,1.0654,212919,-28947.0,184000.0
0015_285.1,228244.8,33.0,Suburban,14.0,2019,1.0654,214233,-30261.0,184000.0
0015_285.8,223130.2,33.0,Transition,12.0,2019,1.0654,209433,-25461.0,184000.0
0015_286.8,223128.2,33.0,Suburban,12.0,2019,1.0654,209431,-25459.0,184000.0
0015_288.2,222783.7,34.0,Suburban,12.0,2019,1.0654,209108,-36466.0,173000.0
0015_289.8,231995.7,34.0,Urban,12.0,2019,1.0654,217754,-4730.0,213000.0
0015_291.4,239084.9,34.0,Urban,10.0,2019,1.0654,224408,-42988.0,181000.0
0015_292.6,245720.9,34.0,Urban,10.0,2019,1.0654,230637,-43172.0,187000.0
0015_293.0,244882.3,34.0,Urban,10.0,2019,1.0654,229850,-36338.0,194000.0
0015_293.6,244882.3,34.0,Urban,10.0,2019,1.0654,229850,-36338.0,194000.0
0015_295.6,282740.2,34.0,Urban,15.0,2019,1.0654,265384,-1429.0,264000.0
0015_297.9,286607.3,34.0,Urban,17.0,2019,1.0654,269013,6001.0,275000.0
0015_299.0,251349.3,34.0,Urban,10.0,2019,1.0654,235920,-30246.0,206000.0
0015_300.3,250309.9,34.0,Urban,10.0,2019,1.0654,234944,3277.0,238000.0
0015_301.7,249170.6,34.0,Urban,10.0,2019,1.0654,233875,9615.0,243000.0
0015_302.5,249170.6,34.0,Urban,10.0,2019,1.0654,233875,9615.0,243000.0
0015_303.4,241087.9,34.0,Urban,10.0,2019,1.0654,226288,-2238.0,224000.0
0015_304.7,202988.6,34.0,Urban,15.0,2019,1.0654,190528,33522.0,224000.0
0015_305.2,290435.9,34.0,Urban,16.0,2019,1.0654,272607,14713.0,287000.0
0015_305.9,268147.5,34.0,Urban,14.0,2019,1.0654,251687,3414.0,255000.0
0015_306.3,224482.0,34.0,Urban,10.0,2019,1.0654,210702,44399.0,255000.0
0015_307.2,224481.0,34.0,Urban,12.0,2019,1.0654,210701,44400.0,255000.0
0015_307.5,162776.8,34.0,Urban,11.0,2019,1.0654,152784,102317.0,255000.0
0015_307.6,220778.4,34.0,Urban,14.0,2019,1.0654,207225,-42474.0,165000.0
0015_307.8,160599.1,34.0,Urban,12.0,2019,1.0654,150740,14011.0,165000.0
0015_308.4,159851.6,34.0,Urban,10.0,2019,1.0654,150039,11568.0,162000.0
0015_309.3,162922.8,33.0,Suburban,8.0,2019,1.0654,152921,-16064.0,137000.0
0015_310.2,166260.6,33.0,Suburban,8.0,2019,1.0654,156054,-19934.0,136000.0
0015_311.4,158763.0,33.0,Transition,8.0,2019,1.0654,149017,-12897.0,136000.0
0015_311.8,153274.3,33.0,Suburban,8.0,2019,1.0654,143865,24487.0,168000.0
0015_313.7,205498.7,33.0,Suburban,10.0,2019,1.0654,192884,-17364.0,176000.0
0015_315.3,190254.1,33.0,Urban,10.0,2019,1.0654,178575,-11032.0,168000.0
0015_316.9,183525.6,33.0,Urban,10.0,2019,1.0654,172259,-3661.0,169000.0
0015_317.6,162665.6,33.0,Urban,10.0,2019,1.0654,152680,-10787.0,142000.0
0015_318.3,177768.9,33.0,Urban,10.0,2019,1.0654,166856,-8694.0,158000.0
0015_319.5,170562.9,33.0,Suburban,10.0,2019,1.0654,160092,6572.0,167000.0
0015_321.0,170585.5,33.0,Suburban,10.0,2019,1.0654,160114,6550.0,167000.0
0015_322.0,151928.3,33.0,Suburban,10.0,2019,1.0654,142602,24062.0,167000.0
0015_323.8,99804.8,33.0,Suburban,10.0,2019,1.0654,93678,56011.0,150000.0
0015_324.4,134746.8,33.0,Suburban,8.0,2019,1.0654,126475,1999.0,128000.0
0015_325.6,134748.3,33.0,Suburban,8.0,2019,1.0654,126476,1998.0,128000.0
0015_328.7,145611.6,33.0,Suburban,8.0,2019,1.0654,136673,15893.0,153000.0
0015_330.1,142170.2,33.0,Urban,8.0,2019,1.0654,133443,-1470.0,132000.0
