ROUTE_ID,FROM_MEASURE,TO_MEASURE,YEAR,AADT
0006,0.0,46.04,1981,325
0006,0.0,46.04,1982,335
0006,0.0,46.04,1983,430
0006,0.0,46.04,1984,580
0006,0.0,46.04,1985,585
0006,0.0,46.04,1986,585
0006,0.0,46.04,1987,595
0006,0.0,46.04,1989,400
0006,0.0,46.04,1990,420
0006,0.0,46.04,1991,425
0006,0.0,46.04,1992,445
0006,0.0,46.04,1993,465
0006,0.0,46.04,1994,505
0006,0.0,46.04,1995,530
0006,0.0,46.04,1996,350
0006,0.0,46.04,1997,365
0006,0.0,46.04,1998,385
0006,0.0,46.04,1999,430
0006,0.0,46.04,2000,430
0006,0.0,46.04,2001,310
0006,0.0,46.04,2002,320
0006,0.0,46.04,2003,315
0006,0.0,46.04,2004,535
0006,0.0,46.04,2005,430
0006,0.0,46.04,2006,440
0006,0.0,46.04,2007,285
0006,0.0,46.04,2008,345
0006,0.0,46.04,2009,355
0006,0.0,46.04,2010,340
0006,0.0,46.04,2011,330
0006,0.0,46.04,2012,325
0006,0.0,46.04,2013,330
0006,0.0,46.04,2014,350
0006,0.0,46.04,2015,375
0006,0.0,46.04,2016,399
0006,0.0,46.04,2017,409
0006,0.0,46.04,2018,412
0006,0.0,46.04,2019,415
0006,0.0,46.04,2020,430
0006,0.0,46.04,2021,474
0006,46.04,77.56,1981,325
0006,46.04,77.56,1982,335
0006,46.04,77.56,1983,430
0006,46.04,77.56,1984,580
0006,46.04,77.56,1985,585
0006,46.04,77.56,1986,585
0006,46.04,77.56,1987,595
0006,46.04,77.56,1989,400
0006,46.04,77.56,1990,420
0006,46.04,77.56,1991,425
0006,46.04,77.56,1992,445
0006,46.04,77.56,1993,465
0006,46.04,77.56,1994,505
0006,46.04,77.56,1995,530
0006,46.04,77.56,1996,350
0006,46.04,77.56,1997,365
0006,46.04,77.56,1998,385
0006,46.04,77.56,1999,430
0006,46.04,77.56,2000,430
0006,46.04,77.56,2001,310
0006,46.04,77.56,2002,320
0006,46.04,77.56,2003,315
0006,46.04,77.56,2004,535
0006,46.04,77.56,2005,430
0006,46.04,77.56,2006,440
0006,46.04,77.56,2007,285
0006,46.04,77.56,2008,345
0006,46.04,77.56,2009,355
0006,46.04,77.56,2010,355
0006,46.04,77.56,2011,340
0006,46.04,77.56,2012,340
0006,46.04,77.56,2013,340
0006,46.04,77.56,2014,360
0006,46.04,77.56,2015,390
0006,46.04,77.56,2016,412
0006,46.04,77.56,2017,366
0006,46.04,77.56,2018,369
0006,46.04,77.56,2019,372
0006,46.04,77.56,2020,385
0006,46.04,77.56,2021,424
0006,77.56,82.9,1981,520
0006,77.56,82.9,1982,535
0006,77.56,82.9,1983,630
0006,77.56,82.9,1984,780
0006,77.56,82.9,1985,790
0006,77.56,82.9,1986,790
0006,77.56,82.9,1987,800
0006,77.56,82.9,1989,440
0006,77.56,82.9,1990,460
0006,77.56,82.9,1991,465
0006,77.56,82.9,1992,485
0006,77.56,82.9,1993,505
0006,77.56,82.9,1994,550
0006,77.56,82.9,1995,575
0006,77.56,82.9,1996,575
0006,77.56,82.9,1997,600
0006,77.56,82.9,1998,635
0006,77.56,82.9,1999,680
0006,77.56,82.9,2000,680
0006,77.56,82.9,2001,510
0006,77.56,82.9,2002,320
0006,77.56,82.9,2003,315
0006,77.56,82.9,2004,535
0006,77.56,82.9,2005,540
0006,77.56,82.9,2006,550
0006,77.56,82.9,2007,285
0006,77.56,82.9,2008,345
0006,77.56,82.9,2009,550
0006,77.56,82.9,2010,545
0006,77.56,82.9,2011,525
0006,77.56,82.9,2012,420
0006,77.56,82.9,2013,420
0006,77.56,82.9,2014,450
0006,77.56,82.9,2015,480
0006,77.56,82.9,2016,512
0006,77.56,82.9,2017,525
0006,77.56,82.9,2018,529
0006,77.56,82.9,2019,533
0006,77.56,82.9,2020,552
0006,77.56,82.9,2021,609
0006,82.9,83.91,1982,1350
0006,82.9,83.91,1983,1450
0006,82.9,83.91,1984,1650
